artist,song,link,text
Status Quo,In My Chair,/s/status+quo/in+my+chair_20129850.html,"I saw her talking, now  
My ears were burning  
Her feet started walking, now  
They started turning  
My eyes were half open  
But she didn't see me there  
We ran along, walking 'cross the roof-tops  
In my chair  
  
Had a car in my pocket  
And we started moving  
A man in a helmet said  
'What's that you're using'  
My eyes were half open  
But we didn't see him there  
Put the car back in my pocket  
And I'm still here in my chair  
  
My teeth were laughing, now  
We couldn't stop smiling  
We danced to the Mystery Band  
Without even trying  
My eyes were half open  
But we didn't see them there  
We ran along, walking 'cross the roof-tops  
In my chair

"
Tori Amos,Not Dying Today,/t/tori+amos/not+dying+today_20791593.html,"You, bastard fan  
You always speak badly about me  
Hoping in a new Pele  
Receiving just new Ireland  
You want the worst for me 'cause I know you say  
She makes good songs just when she's in pain  
Shame on you baby!  
You hope in my misfortunes  
And you think of what pain can makes me turn back to write good songs  
Sorry for the disappointment but in the family we are all good  
  
My father's well  
He's not dying today  
My mother's well  
She's not dying today  
My face is OK, so they say to me  
But don't worry 'cause it will not die today  
Maybe tomorrow somewhere  
  
Hi ears with feet  
Or I could say ears with six feet under  
You hope the beekeeper comes to take someone  
Shame on you  
I can do good songs if I'm happy too.such as goodbye pieces  
OK it's not a good example  
  
Mary Magdalene's alive and  
Not dying today  
Matt and john are OK  
They're not dying today  
Mac Aladdin is good too, I know you're sad about  
But he's not dying today  
Beenie lost her sunset but not dying today  
My career is on a thread but not dying today  
My face is OK, so they say to me  
But don't worry 'cause it will not die today

"
Rod Stewart,Camouflage,/r/rod+stewart/camouflage_20117205.html,"She came to the party  
In a leather number wrapped in chains  
Investigation found  
She was very fond of dropping names  
So I signed her book  
And drove her to her home  
And she looked so hot  
Started to come on strong  
Then she said so candidly  
As I was gettin' down on my knees  
""I don't really mean to tease  
But I'm shy, shy, shy, shy, shy""  
Camouflage  
That's nothin' but camouflage  
  
He was totally handsome  
With a winning personality  
Natural born leader  
With connections in society  
But late at night  
Alone with just his wealth  
He would stare in the mirror  
And never see himself  
He had a Cadillac thirty foot long  
He had a hit with every song  
Sounded like something's wrong  
Why, why, why, why, why  
  
Camouflage  
It ain't nothin' but camouflage  
Camouflage  
Ain't nothing but, nothin' but  
Nothin' but camouflage  
  
They were so well suited  
With an ambiance you can't ignore  
But nobody realized  
What went on behind closed doors  
He had many affairs  
But never felt fulfilled  
She would hide her sadness  
In alcohol and pills  
She bottled everything up inside  
He was too busy with his best friend's wife  
They couldn't look each other in the eyes  
Lies, lies, lies, lies, lies  
  
Camouflage  
Just camouflage  
Everywhere you go it's called camouflage  
Some people hide behind camouflage  
  
see A-M-O you F-L-A-G-E  
  
I signed her book, drove her to her home  
But I didn't know what was goin' on  
  
He had a Cadillac thirty foot long  
Had hits with every song  
  
He had many affairs but never felt fulfilled  
She was hidin' herself in some little purple pills  
  
Why, why, why, why  
Shy, shy, shy, shy  
Lies, lies, lies, lies  
Lies, lies, lies, lies  
  
Camouflage, camouflage  
Talkin' 'bout camouflage  
camouflage, bring it down  
  
Sometimes I worry about you darlin'  
You wear too much mascara  
Too much eyeliner  
Too much rouge, and it worries me  
Camouflage, camouflage  
Camouflage, talkin' 'bout camouflage

"
Owl City,Goodbye (Who Is Fancy),/o/owl+city/goodbye+who+is+fancy_21097639.html,"[Intro]  
I was a hot mess  
In my Sunday best  
Black tears in my eyes  
You were my first love  
You were my only one  
I can't believe your lies  
  
[Bridge]  
Once we were like bottle rockets  
Now I know I have to stop it  
  
Please believe me  
This isn't easy  
I just need to say goodbye  
  
[Refrain]  
Goodbye (2x)  
Losin' my mind  
Goodbye  
  
[Verse]  
You got a new friend  
You like to play pretend  
I'm just keepin' my cool  
Turn on the smoke machine  
Magic and make believe  
She'll never know you like I do  
  
[Bridge]  
Once we were a fire burnin'  
Now you're just a lesson I'm learning  
  
Please believe me  
This isn't easy  
I just need to say goodbye  
  
[Refrain]  
Goodbye (2x)  
Losin' my mind  
Goodbye  
  
[Interlude]  
I know that I can find somebody  
You won't ever find nobody else like me  
(4x)  
  
[Bridge]  
Once we were like bottle rockets  
Now I know I have to stop it  
  
Please believe me  
This isn't easy  
I just need to say goodbye  
  
[Refrain]  
Goodbye (2x)  
Losin' my mind  
Goodbye  
  
[Outro]  
I gotta say goodbye  
This isn't easy  
I gotta say goodbye

"
Frank Sinatra,Cycles,/f/frank+sinatra/cycles_20056468.html,"So I'm down and so I'm out  
But so are many others  
So I feel like tryin' to hide  
My head 'neath these covers  
  
Life is like the seasons  
After winter comes the spring  
So I'll keep this smile awhile  
And see what tomorrow brings  
  
I've been told and I believe  
That life is meant for livin'  
And even when my chips are low  
There's still some left for givin'  
  
I've been many places  
Maybe not as far as you  
So I think I'll stay awhile  
And see if some dreams come true  
  
There isn't much that I have learned  
Through all my foolish years  
Except that life keeps runnin' in cycles  
First there's laughter, then those tears  
  
But I'll keep my head up high  
Although I'm kinda tired  
My gal just up and left last week  
Friday I got fired  
  
You know it's almost funny  
But things can't get worse than now  
So I'll keep on tryin' to sing  
But please, just don't ask me how

"
Grand Funk Railroad,Love Is Dyin',/g/grand+funk+railroad/love+is+dyin_20062087.html,"You say that this is the end,  
And I feel the knife cut off my right hand.  
You may not care right now,  
But if it's over, it's done and I won't turn around.  
  
Love is dyin'.  
There ain't no use in cryin'.  
  
You oughta know me better than that,  
I really love you if that's where it's at.  
I really love you but I won't be back,  
Oh how I love you, I love you but I won't be back.  
  
A dreamer of dreamers I have always been,  
And this time there won't be no givin' in.  
Chances are we could change our minds,  
But I don't think I can make it another time.  
  
Love is dyin'.  
There ain't no use in cryin'.  
  
You oughta know me better than that,  
I really love you if that's where it's at.  
I really love you but I won't be back,  
Oh how I love you, I love you but I won't be back.  
  
Love is dyin'.  
There ain't no use in cryin'.  
  
I really love you if that's where it's at.  
I really love you but I won't be back,  
  
Love is dyin'.  
There ain't no use in cryin'.  

"
Travis,Friends,/t/travis/friends_20759936.html,"Who cheers you up  
When you are down  
Who brings you cups of coffee  
Who picks you up  
When you're in town  
Whatever makes you happy  
And I'm glad you're better now  
But I'm sad you're not around  
  
[Chorus]  
Friends  
Won't ever desert you  
Or turn against  
Friends  
Won't love you and leave you  
To mend the fence  
  
Who wakes you up  
When you're late for work  
Who makes the bed so lovely  
Who found your sock  
Who pressed your shirt  
Whatever makes you love me  
And I'm glad I'm better now  
But I'm just sad you're not around  
  
[Chorus]

"
Ufo,Lights Out,/u/ufo/lights+out_20141993.html,"Wind blows back and the batons charging  
It winds all the way  
Right to the butt of my gun  
Maybe now your time has come  
  
From the back streets there's a rumbling  
  
Smell of anarchy  
No more nice time, bright boy shoe shines  
Pie in the sky dreams  
  
Lights out, lights out in London  
Hold 'em tight till the end  
Better now you know we'll never  
Wait till tomorrow  
Lights out, lights out in London  
Hold 'em tight till the end  
God knows when I'm coming on my run  
  
Heaven help those who help themselves  
That's the way it goes  
The frightening thoughts of what's been taught  
And now it shows  
  
You keep coming, there's no running  
Tried a thousand times  
Under your feet grass is growing  
Time we said goodbye  
  
Lights out, lights out in London  
  
Lights out, lights out in London

"
Randy Travis,Shopping For Dresses,/r/randy+travis/shopping+for+dresses+feat+loretta+lynn_20217677.html,"Down through the ages men have died for women  
And done so for many times  
Each time I loved one, I've always lost one  
Seems the right one is so hard to find  
  
[Chorus:]  
Shopping for dresses with no one to wear them  
One in each color, one in each style  
I'll find a lady someday to wear them  
My shopping will be done for awhile  
  
I'll bet somewhere's a lady shopping for britches  
Comparing the value, appraising each pair  
Maybe someday the Lord will bring us together  
And we ll both have a new wardrobe to wear  
  
Shopping for dresses with no one to wear them  
One in each color and one in each style  
Maybe someday if I'm lucky  
I'll find someone to wear them  
And my shopping will be done for awhile  
My shopping will be done for awhile  
  
I'm looking for a lady who'll look good in dresses  
She must be red-headed, green eyes and be fair  
I'll make exceptions to all my requirements  
As long as she s willing to care  
  
[Chorus:]  
  
I just saw a beauty with blue eyes, what a cutie  
Bond hair like a halo around her did flow  
But the brunette beside her would be just as lovely  
In the dresses I bought long ago  
  
[Chorus:]  
  
Now as I sit here dreaming, planning and scheming  
Why should I make standards when everyone knows  
As your need ranges, women make changes  
And you must accept them or just let them go  
  
[Chorus:]

"
Leonard Cohen,The Land Of Plenty,/l/leonard+cohen/the+land+of+plenty_20082873.html,"Don't really know who sent me  
To raise my voice and say  
May the lights in The Land of Plenty  
Shine on the truth some day.  
  
I don't know why I come here,  
Knowing as I do,  
What you really think of me,  
What I really think of you.  
  
For the millions in a prison,  
That wealth has set apart  
For the Christ who has not risen,  
From the caverns of the heart  
  
For the innermost decision,  
That we cannot but obey  
For what's left of our religion,  
I lift my voice and pray  
May the lights in The Land of Plenty  
Shine on the truth some day.  
  
I know I said I'd meet you,  
I'd meet you at the store,  
But I can't buy it, baby.  
I can't buy it anymore.  
  
And I don't really know who sent me,  
To raise my voice and say  
May the lights in The Land of Plenty  
Shine on the truth some day.  
  
I don't know why I come here,  
Knowing as I do,  
What you really think of me,  
What I really think of you.  
  
For the innermost decision  
That we cannot but obey  
For what's left of our religion  
I lift my voice and pray  
May the lights in The Land of Plenty  
Shine on the truth some day.

"
Frank Zappa,For Calvin,/f/frank+zappa/for+calvin_10123337.html,"Janet ferguson (vocals)  
Sal marquez (vocals)  
Mike altschul (woodwinds)  
Earl dumler (woodwinds)  
Tony "" bat man"" ortege (woodwinds)  
Joanne caldwell mcnabb (woodwinds)  
Johnny rotella (woodwinds)  
Fred jackson (woodwinds)  
Sal marquez (brass)  
Malcolm mcnabb (brass)  
Bill byers (brass)  
Ken shroyer (brass)  
Ernie track (brass)  
Bob zimmitti (percussion)  
Alan estes (percussion)  
Don preston (mini-moog)  
Frank zappa (guitar)  
Tony duran (guitar)  
Erroneous (bass)  
Aynsley dunbar (drums)  
  
Where did they go?  
When did they come from?  
What has become of them now?  
  
How much was the leakage  
From the drain in the night  
And who are those dudes in the  
Back seat of calvin's car?  
  
Where did they go?  
When they got off the car?  
Did they go get sandwich  
And eat in the dark?

"
Ne-Yo,Break Up To Make Up,/n/ne+yo/break+up+to+make+up_20981000.html,"Floating along in the middle of the sea  
That's what it feels like  
Two weeks later and you're still not talking to me  
We could be using that to make up  
But lately you don't even seem to care  
So let me try this again  
I'm sorry for the wrong that I've did  
Why can't we just get over it  
  
This ain't right  
We're bigger than this  
Bigger than this  
Stupid fight  
Baby girl we're bigger than this  
Bigger than this  
Staying made at me for eternity  
What's that gonna fix  
So baby can we try  
Cause what we've got is so much bigger than this  
  
Now baby normally we don't stay mad for too long  
We would break up just to make up cause it felt long  
Girl I miss you intensely  
So can we  
It's a love hate kinda thing  
With us baby  
Girl I'm sorry for the wrong that I've did  
Why can't we just get over it  
  
This ain't right  
We're bigger than this  
Bigger than this  
Stupid fight  
Baby girl we're bigger than this  
Bigger than this  
Staying made at me for eternity  
What's that gonna fix  
So baby can we try  
Cause what we've got is so much bigger than this

"
Fall Out Boy,Headfirst Slide Into Cooperstown On A Bad Bet,/f/fall+out+boy/headfirst+slide+into+cooperstown+on+a+bad+bet_20765645.html,"Mr. Sandman showing his beam  
When he walks into the room  
The walls lean in to listen  
Surf out brain waves  
Click back and forth like old headlights  
Sniffing model glue again  
  
Head like a steel trap  
Wish I didn't, I didn't, I didn't, I didn't,  
I didn't, I didn't, I didn't, I don't  
Just want to be a footnote in someone else's happiness.  
  
Does your husband know the way that  
The sunshine gleams from your wedding band?  
Does he know the way to worship I know  
Of the crickets that would convince me to call it a night?  
  
I will never end up like him  
Behind my back, I already am.  
Keep a calendar, this way  
You will always know.  
  
The last time you came through,  
Oh darling, I know what you're going through.  
The last time you came through,  
Oh darling, oh darling, oh darling  
  
Tempest in a teacup,  
Get unique.  
Peroxide Princess shine like shark teeth  
It's a sign, (it's a sign)  
It's a sign, (it's a sign)  
It's a sign, what if you peaked early.  
  
Does your husband know the way that  
The sunshine gleams from your wedding band?  
Does he know the way, does he know the way  
Of the crickets that would convince me to call it a night?  
  
Does he, does he know the way to worship our love?  
Does your husband know the way  
That the sunshine gleams from your wedding band?  
  
But, I will never end up like him.  
Behind my back, I already am.  
Keep a calendar, this way you will always know.  
  
The last time you came through  
Oh darling, I know what you're going through.  
The last time you came through,  
Oh darling, oh darling, oh darling  
  
Does your husband know?  
Does your husband know?  
Does your husband know?  
  
Does he know?  
Does he know?  
Does he know?  
  
But, I will never end up like him.  
Behind my back I already am.  
Keep a calendar, this way you will always know.  
  
Oh, the last time you came through,  
Oh darling, I know what you're going through.  
Oh, the last time you came through,  
Oh darling, I know what you're going through.

"
Morrissey,Roy's Keen,/m/morrissey/roys+keen_20096037.html,"(Go on!)  
He's romancing you  
And chancing his arm  
He'll be here  
Smiling on time  
He's romancing you  
And chancing his arm  
He'll be here  
Smiling on time  
Roy's keen oh Roy's keen  
Roy's keen oh Roy's keen  
We've never seen a  
Keener window-cleaner  
Back up the ladder  
Into each corner  
Dunking the chamois  
Just think of the goodwill  
The ladder's a planet  
Roy is a star, and  
I am a satellite  
(But that's alright)  
He can hold a smile for as long  
As you require (even longer)  
He can hold a smile for as long  
As you require (even longer)  
Roy's keen oh Roy's keen  
Roy's keen oh Roy's keen  
We've never seen a  
Keener window-cleaner  
Back up the ladder  
Into each corner  
Dunking the chamois  
Just think of the goodwill  
The ladder's a planet  
Roy is a star, and  
I am a satellite  
I will be set alight  
Don't say you'll hold it steady  
Then you let it go  
Don't say you'll hold it steady  
Then you let it go  
Oh...  
  
You're up the ladder  
Into each corner  
Foot in a bucket  
We trust you to wreck it  
Even when it's under your nose  
Well, you just can't  
See it, can you?  
Well, it's here  
Right under your nose  
And you just can't  
See it, can you?  
La la la la...  
Roy's keen, Roy's keen  
La la la la...  
Roy's keen, Roy's keen  
La la la la...  
Roy's keen, Roy's keen  
La la la la...  
Roy's keen, Roy's keen  
We've never seen a  
Keener window-cleaner  
Oh...  
La la la la...

"
Tori Amos,Cooling,/t/tori+amos/cooling_20139519.html,"Maybe I didn't like to hear  
But I still can't believe Speed Racer is dead  
So then I thought I'd make some plans  
But fire thought she'd really rather be water instead  
  
And Peggy got a message for me  
From Jesus  
And I've heard every word that you have said  
And I know I have been driven like the snow  
  
This is cooling  
Faster than I can  
This is cooling  
Faster than I can  
  
But do I hate what she is  
But do I want to be her  
And don't we love something fresh  
Anything new, virgin  
  
Woman you got too many brambles  
Hiding under these bushes  
Woman you got too many brambles  
But I always liked a good storm  
I'm always good for a storm  
  
So then love walked up to like  
And said I know that you don't like me much  
Let's go for a ride  
This ocean is wrapped around that pineapple tree  
  
And is your place in heaven  
Worth giving up these kisses  
These, these kisses  
  
And Peggy got a message for me  
From Jesus  
And I've heard every word that you have said  
And I know I have been driven like the snow, but  
  
This is cooling  
Faster than I can  
Hey yes, faster than I can  
Hey, this is cooling  
This is cooling

"
Janis Joplin,Careless Love,/j/janis+joplin/careless+love_20069745.html,"Oh love, oh love, oh careless love,  
Oh love, oh love, oh careless love.  
Oh love, oh love, oh careless love,  
Now now don't you see what your careless love has done.  
Well you worried my mother till she died  
And you caused my father to lose his mind.  
Now damn you I'm goin' to shoot you, lord, I'm gonna shoot you both right
down,  
I'm gonna spare no one of you child till you spin next dyin'.  
Oh love, oh love, oh careless love.  
Oh love, oh love, oh careless love.  
Oh love, oh love, oh careless love  
Oh lord, don't you see what, what your careless love has done.  
Oh yeah.  
Careless love now don't know see how you follow me down,  
Careless love, don't you see how you follow me down.  
Well, you robbed me out of my silver, lord, and out of my gold  
Ever since you been a-ridin' by side.  
Oh love, oh love, oh careless,  
Oh love, yes oh love, oh careless love.  
Oh love, I said love, oh careless love now  
Don't you see what your careless love has done, yeah.  

"
Mazzy Star,Five String Serenade,/m/mazzy+star/five+string+serenade_20090973.html,"This is my five string serenade  
Beneath the water of play  
And while I'm playing for yo  
It could writing that's you  
  
This is my five string serenade  
Beneath the water of play  
And while I'm playing for you  
It could writing that's you  
  
And on my easel I drew  
While I was thinking of you  
And on the roof of my head  
And came my five string serenade  
  
This is my five string serenade  
Beneath the water of play  
And while I'm playing for you  
It might writing that's you  
  
And on my easel I drew  
While I was thinking of you  
And on the roof of my head  
And came my five string serenade  
  
This is my five string serenade  
Beneath the water of play  
And though I'm playing for you  
It could writing that's you  
  
This is my five string serenade

"
Lionel Richie,Good Morning,/l/lionel+richie/good+morning_20781012.html,"The sun creeps in,  
She says I love you with a smile on her face.  
If time could stand still  
We could lay under the covers all day  
  
She makes this house a home  
In winter keeps me warm  
In summer makes it hot for me  
In the fall and spring fresh loving she brings  
When I open up my eyes she sings  
  
Good morning  
It's a beautiful day  
When I'm with her  
With me she lays  
  
Good morning  
Another beautiful day  
The sun rises  
When I see your face  
Everyday  
Good morning  
Good morning  
  
Sometimes I wake  
A little grumpy, moody  
She says no way  
Cause she's so positive  
She gives me love  
Gets me ready for my day  
  
She makes this house a home  
In winter keeps me warm  
In summer makes it hot for me  
In the fall and spring fresh loving she brings  
When I open up my eyes she sings  
  
Good morning  
It's a beautiful day  
When I'm with her  
With me she lays  
  
Good morning  
Another beautiful day  
The sun rises  
When I see your face  
Everyday  
Good morning  
Good morning  
Good morning  
  
If she cooks your breakfast with love  
Gives you kisses with love  
Rubs your back with love  
Than you better wake up  
Say you (love her)  
Tell her that you (love her)  
Cause every breath that you breathe  
Everyday that you see  
Is not guaranteed  
Oh no  
Every morning  
Every morning  
Tell her  
  
Good morning  
It's a beautiful day  
When I'm with her  
With me she lays  
  
Good morning  
Another beautiful day  
The sun rises  
When I see your face  
Everyday  
Good morning  
Good morning  
Good morning  
  
Tell her good morning  
Good morning

"
Ed Sheeran,Everything Has Changed,/e/ed+sheeran/everything+has+changed_21048640.html,"[Taylor Swift]  
I use to think that love was for dreamers,  
""Love at first sight"" I never believed it,  
Had my head on tight, I lived in the real world,  
But that was until I met you.  
Now everything is changed.  
  
[Ed Sheeran]  
Yesterday I was drinking my sorrows away,  
On the edge of forever storing my heart away,  
On the verge of letting my heart go stray.  
And that's when I met you.  
And now everything is changed.  
  
[Taylor Swift]  
Oh darling,  
You look like your soul is lost.  
What could've happened to make you feel so low?  
Don't let the liquor ease your hurt.  
Don't let your heart go cold.  
  
[Ed Sheeran]  
Oh darling,  
Don't worry, I'll be just fine.  
What's a pretty girl like you doing in a place like this?  
If I weren't drinking then I'd be crying,  
And I think that's something we both rather miss.  
  
[Both]  
But I guess that's just how the cookie crumbles,  
You give your all and watch as your heart tumbles  
Down and down until you can't feel anymore.  
  
[Ed Sheeran]  
That's the thing about love,  
That's the reason why I'll never fall again,  
It hurts when it's supposed to make you make you feel good.  
  
[Taylor Swift]  
Well if that's what love is,  
Then I don't ever wanna try it out,  
But something tells me I should.  
  
Even though we've only met each other,  
We'll work it out together until everything is changed.  
Until everything is good.

"
Nirvana,All Apologies,/n/nirvana/all+apologies_20101125.html,"What else should I be  
All apologies  
What else could I say  
Everyone is gay  
What else could I write  
I don't have the right  
What else should I be  
All apologies  
  
In the sun  
In the sun I feel as one  
In the sun  
In the sun  
Married  
Buried  
  
I wish I was like you  
Easily amused  
Find my nest of salt  
Everything's my fault  
I take all the blame  
Aqua seafoam shame  
Sunburn, freezer burn  
Choking on the ashes of her enemy  
  
In the sun  
In the sun I feel as one  
In the sun  
In the sun  
Married  
Buried  
Married  
Buried  
  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we all are  
All in all is all we are

"
Indigo Girls,Carolina In My Mind,/i/indigo+girls/carolina+in+my+mind_20067374.html,"In my mind I'm going to carolina  
Can't you see the sunshine  
Can't you just feel the moon shining  
Aint it just like a friend of mine  
It hit me from behind  
And I'm going to carolina in my mind  
  
Karen shes a silver sun  
You best walk her way and watch it shining  
Watch her watch the morning come  
A silver tear appearing now I'm crying aint I  
I'm going to carolina in my mind  
  
There aint no doubt it no ones mind  
That loves the finest thing around  
Whisper something soft and kind  
Hey babe the skys on fire I'm dying well aint I  
I'm going to carolina in my mind  
  
In my mind I'm going to carolina  
Can't you see the sunshine  
Can't you just feel the moon shining  
Aint it just like a friend of mine  
To hit me from behind  
And I'm going to carolina in my mind  
  
Dark and silent late last night  
I think I might have heard the highway calling  
Geese in flight and dogs that bite  
Signs that might be omens say I going going  
I'm going to carolina in my mind  
Now with a holy host of others standing round me  
Still I'm on the dark side of the moon  
And it seems like it goes on like this forever  
You must forgive me  
If I'm up and going to carolina in my mind  
  
In my mind I'm going to carolina  
Can't you see the sunshine  
Can't you just feel the moon shining  
Aint it just like a friend of mine  
To hit me from behind  
And I'm going to carolina in my mind  
Going to carolina in my mind  
Going to carolina in my mind

"
Perry Como,As Time Goes By,/p/perry+como/as+time+goes+by_20106842.html,"You must remember this, a kiss is still a kiss,  
A sigh is just a sigh, the fundamental things apply,  
As time goes by  
  
An' when two lovers woo, they still say ""I love you,""  
On that you can rely, no matter what the future brings,  
As time goes by  
  
Moonlight an' love songs never out of date,  
Hearts full of passion, jealousy an' hate,  
Woman needs man and man must have his mate,  
That no one can deny  
  
It's still the same old story, a fight for love an' glory,  
A case of do or die, the world will always welcome lovers,  
As time goes by  
  
It's still the same old story, a fight for love an' glory,  
A case of do or die, the world will always welcome lovers,  
As time goes by

"
Nina Simone,I Think It's Going To Rain Today,/n/nina+simone/i+think+its+going+to+rain+today_20100504.html,"Broken windows and empty hallways  
A pale dead moon in the sky streaked with gray  
Human kindness is overflowing  
And I think it's going to rain today  
  
Scarecrows dressed in the latest styles  
With frozen smiles to chase love away  
Human kindness is overflowing  
And I think it's going to rain today  
  
Lonely, lonely  
Tin can at my feet  
Think I'll kick it down the street  
That's the way to treat a friend  
  
Bright before me the signs implore me  
To help the needy and show them the way  
Human kindness is overflowing  
And I think it's going to rain today

"
Louis Jordan,Is You Is Or Is You Ain't (My Baby),/l/louis+jordan/is+you+is+or+is+you+aint+my+baby_20626684.html,"I got a gal who's always late  
Anytime we have a date  
But I love her, yes I love her  
  
Mmm, he's gonna walk up to my gate  
And see if he can get it straight  
Cause he wants her, he's gonna ask her  
  
Is you is or is you ain't my baby  
The way you're actin' lately makes me doubt  
You's is still my baby, baby  
Seems my flame in your heart's done gone out  
  
A woman is a creature that has always been strange  
Just when you're sure of one, you find she's gone and made a change  
  
Is you is or is you ain't my baby  
Maybe baby's found somebody new  
Or is my baby still my baby true  
  
Is you or is you ain't my baby, baby  
Baby boy, the way you're actin' lately makes me doubt  
See here, who's been cuttin' me  
You's is still my baby, baby  
Baby boy, it seems my flame in your heart's done gone out  
Oh, blackout  
  
A woman is a creature that has always been strange  
Just when you're sure of one, you find she's gone and made a change  
And took my change  
  
Is you is or is you ain't my baby  
Maybe baby's found somebody new  
Maybe baby's found somebody  
Is my baby still my baby true

"
Nitty Gritty Dirt Band,Circular Man,/n/nitty+gritty+dirt+band/circular+man_20610756.html,"Darling what are we goin' through  
It's no secret what I do  
Always through revolving doors  
Each time's harder than before  
What goes around comes around  
I'll be with you when I can  
I know it's hard to understand  
But I am a circular  
I am a circular man  
Seems I'm gone before I left  
Always just one step ahead  
For you it's longer, marking time  
Lovin' me as I pass by  
Chorus  
When daddy's on the doorstep  
He won't take you for granted  
It's better than the very first time  
You can count on me, eventually  
Can't make up for the time we've lost  
Stolen from myself the most  
I keep your picture close to me  
Take it out for the boys to see  
What goes around comes around  
I'll be home when I can  
Sometimes it's hard to understand  
But I am a circular  
I am a circular  
I am a circular man  
Woohoo mmmhmmm  
What goes around, comes around  
What goes around, comes around  
What goes around, comes around  
What goes around, comes around  
Around and round and round

"
Ace Of Base,Voulez-Vous Danser,/a/ace+of+base/voulez+vous+danser_20003618.html,"I knew you before about five years ago  
Then you seemed to be like a person  
Who didn't act like the people I knew  
Yes something was special about you  
A bit insecure but still kind of cute  
At the same time easy to talk to  
And now I see you again  
And you're looking so good  
  
Voulez-vous danser avec moi  
Voulez-vous danser avec moi ce soir  
  
I look in the mirror and what do I see  
You're the same kind of person you're like me  
And I can't run away I'm so attracted by you  
  
Voulez-vous danser avec moi  
Voulez-vous danser avec moi ce soir  
  
No more hesitation  
You're what I've been searching for  
So stay close to me  
I want to give you a better life  
  
L'amour eternel  
L'amour eternel  
Voulez-vous danser

"
Sting,All Four Seasons,/s/sting/all+four+seasons_20132044.html,"With her smile as sweet as a warm wind in summer  
She's got me flying like a bird in a bright June sky  
And then just when she thinks that I've got her number  
Brings me down to the ground with her wintry eye  
That's my baby  
She can be all four seasons in one day  
  
And when the nighttime comes with no interference  
To our warm summer love with all its charms  
But like a thoroughbred horse she can turn on a sixpence  
And I find that I'm back in Mistress Winter's arms  
That's my baby  
She can be all four seasons in one day  
  
How will I know?  
How can I tell?  
Which side of the bed she takes when the day begins  
She can be kind  
She can be cruel  
She's got me guessing like a game show fool  
  
She can change her mind like she changes her sweaters  
From one minute to the next it's hard to tell  
She blows hot and cold just like stormy weather  
She's my gift from the Lord or a fiend from hell  
That's my baby  
She can be all four seasons in one day  
  
Watching the weatherman's been no good at all  
Winter, spring, summer, I'm bound for a fall  
There are no long term predictions for my baby  
She can be all four seasons in one day  
  
How will I know?  
How can I tell?  
Which side of the bed she takes when the day begins  
She can be kind  
She can be cruel  
She's got me guessing like a game show fool  
  
If it's a sunny day I take my umbrella  
Just in case the raindrops start to fall  
You could say that I'm just a cautious fellow  
I don't want to be caught in a sudden squall  
That's my baby  
She can be all four seasons in one day  
That's my baby  
She can be all four seasons in one day

"
Zoegirl,Scream,/z/zoegirl/scream_10198612.html,"Does anybody care what's going on  
Sometimes I'm numb  
Sometimes I'm over come.  
Does anybody see what's going on  
Do I have to wear my scars like a badge on my arm  
For you to see me  
I need relief  
  
Do I have to scream for you to hear me  
Do I have to bleed for you to see me  
Cause I grieve  
Your not listening to me  
Do I need to scream  
  
Has anybody seen what's been done  
Where were my defense  
No one heard my protest  
The eyes of God were watching me  
It's time to make my peace,  
Let is go and be released  
So I can breathe again (breathe again)  
I'm on my knees  
  
Do I have to scream for you to hear me  
Do I have to bleed for you to see me  
Cause I grieve  
Your not listening to me  
Do I need to scream (Repeat)  
  
I don't have to scream for you to hear me  
I don't have to bleed for you to see me  
Cause I'm clean  
And your listening to me  
I don't have to scream

"
Toto,Isolation,/t/toto/isolation_20139710.html,"I'm stranded here in a dream and there's no ticket back  
I feel a cold wind blowin', my future looks black  
You left me here and you've taken all my yesterdays  
I guess to stand alone is the price that I pay  
Now look what you've done to me  
Because we just disagree  
I'm out here alone and it's you that I'm waiting for  
  
Can't go livin' without you, girl  
It doesn't matter what you say or do, girl  
Can't go livin' without you, girl  
Isolation  
  
I close my eyes and you're dancin' in the moonlight with me  
I try to touch you, but you, you had to get free  
I turned around and you're nowhere left in sight  
I'm just a lone survivor, you know it ain't right  
Now look what you've done to me  
Because we just disagree  
I'm out here alone and it's you that I'm waiting for  
  
Can't go livin' without you, girl  
You know that I'll be waiting here for you, girl  
Can't go livin' without you, girl  
Isolation  
  
I remember holding you just yesterday  
But you're memory is all that I have today  
We were talking 'bout promises we once had made  
But you never came back  
Why'd you run away  
(You ran away)  
  
Can't go livin' without you, girl  
It doesn't matter what you say or do  
Can't go livin' without you, girl  
Isolation  
Girl, I'm so isolated  
Can't go livin' without you, girl, oh  
Girl, you know I'm gonna wait for you  
Can't go livin' without you, girl  
Isolation

"
